2011-2016 interstate migration flows by age and sex,,,,,,,,,,,,
,,,,Destination,,,,,,,,
,,,,stayers,NSW,VIC,QLD,SA,WA,TAS,NT,ACT
state_name,state_code,sex,age,stayers,D1,D2,D3,D4,D5,D6,D7,D8
QLD,3,M,10,128324,1976,1101,0,275,622,247,207,178
QLD,3,M,15,125623,1637,1160,0,207,403,159,207,266
QLD,3,M,20,115613,2707,2239,0,347,722,171,523,455
QLD,3,M,25,106894,4454,3282,0,500,1296,275,742,530
QLD,3,M,30,112953,4377,2986,0,610,1394,317,679,453
QLD,3,M,35,112202,3265,1955,0,497,1086,254,477,346
QLD,3,M,40,123887,2671,1478,0,335,872,228,371,263
QLD,3,M,45,127473,2264,1218,0,307,717,219,355,209
QLD,3,M,50,125071,1832,999,0,271,593,208,294,149
QLD,3,M,55,119222,1723,793,0,230,471,215,229,80
QLD,3,M,60,106690,1609,700,0,187,293,247,142,46
QLD,3,M,65,100189,1556,604,0,172,161,219,50,32
QLD,3,M,70,74697,933,373,0,141,65,117,20,28
QLD,3,M,75,50796,467,211,0,56,45,67,9,10
QLD,3,M,80,31054,252,107,0,31,4,43,0,0
QLD,3,M,85,24555,197,86,0,26,4,12,0,10
SA,4,M,0,0,0,0,0,0,0,0,0,0
SA,4,M,5,42994,430,668,713,0,314,51,133,84
SA,4,M,10,42443,272,436,560,0,214,31,96,40
SA,4,M,15,43732,191,419,359,0,168,50,55,66
SA,4,M,20,42386,498,883,542,0,221,41,192,125
SA,4,M,25,40064,987,1531,766,0,532,48,317,199
SA,4,M,30,40810,862,1353,744,0,530,68,251,149
SA,4,M,35,39524,636,1017,646,0,385,77,153,103
SA,4,M,40,43258,451,652,640,0,307,45,131,73
SA,4,M,45,47533,390,468,514,0,233,48,135,68
SA,4,M,50,48322,294,369,391,0,138,52,111,40
SA,4,M,55,47725,188,284,329,0,144,44,100,28
SA,4,M,60,43227,181,219,239,0,60,54,66,13
SA,4,M,65,40796,126,184,223,0,42,42,27,12
SA,4,M,70,30317,86,97,138,0,22,14,4,6
SA,4,M,75,21621,21,44,73,0,7,3,3,0
SA,4,M,80,14769,7,30,23,0,7,4,0,0
SA,4,M,85,13397,6,24,24,0,9,8,0,0
WA,5,M,0,0,0,0,0,0,0,0,0,0
WA,5,M,5,67445,628,727,888,231,0,155,200,77
WA,5,M,10,64075,405,459,683,161,0,90,109,53
WA,5,M,15,64239,328,521,487,123,0,90,93,88
WA,5,M,20,60147,607,1026,539,131,0,49,157,122
WA,5,M,25,60703,1169,1573,829,195,0,108,249,150
WA,5,M,30,65793,1309,1745,1098,315,0,160,317,141
WA,5,M,35,62275,869,1050,972,237,0,139,275,97
WA,5,M,40,65612,685,746,866,201,0,112,157,67
WA,5,M,45,69032,507,586,702,197,0,110,184,56
WA,5,M,50,67253,369,426,564,136,0,137,157,29
WA,5,M,55,62298,331,365,459,123,0,130,106,18
WA,5,M,60,55266,267,277,411,96,0,146,62,16
WA,5,M,65,49839,185,206,342,81,0,115,33,8
WA,5,M,70,35239,96,114,143,45,0,48,8,3
WA,5,M,75,24596,45,32,48,17,0,38,3,0
WA,5,M,80,15495,3,10,23,0,0,6,0,8
