year,state,age,births
1986,7,25,1020.833333
1986,7,30,572
1986,7,35,172.0833333
1986,7,40,23.83333333
1986,7,45,0.5
1986,8,15,140.5416667
1986,8,20,801.9166667
1986,8,25,1546.291667
1986,8,30,1128.291667
1986,8,35,382.5833333
1986,8,40,50.04166667
1986,8,45,0.166666667
1987,1,15,4722.583333
1987,1,20,19352
1987,1,25,33178.00001
1987,1,30,20950
1987,1,35,6788
1987,1,40,1022.833333
1987,1,45,47.83333333
1987,2,15,2641.333334
1987,2,20,12558
1987,2,25,24573
1987,2,30,15965
1987,2,35,4964.999999
1987,2,40,674.4583333
1987,2,45,42.54166667
1987,3,15,2699.541667
1987,3,20,9600.833333
1987,3,25,14415.25
1987,3,30,8186.083333
1987,3,35,2427.208333
1987,3,40,348.8333334
1987,3,45,17.66666667
1987,4,15,1118.583333
1987,4,20,4549.208334
1987,4,25,7742.416666
1987,4,30,4397.791666
1987,4,35,1213.333333
1987,4,40,164.3333333
1987,4,45,4.291666666
1987,5,15,1386.375
1987,5,20,5427.708333
1987,5,25,9232
1987,5,30,5467
1987,5,35,1577.833333
1987,5,40,219.5416667
1987,5,45,12
1987,6,15,510.0416667
1987,6,20,1766.416667
1987,6,25,2683.041667
1987,6,30,1365.375
1987,6,35,371.25
1987,6,40,45.95833333
1987,6,45,0.75
1987,7,15,572.3333333
1987,7,20,911.3333333
1987,7,25,1101.708333
1987,7,30,655.3333333
1987,7,35,188.0833333
1987,7,40,29.95833334
1987,7,45,2
1987,8,15,150.125
1987,8,20,767.2916667
1987,8,25,1581.333333
1987,8,30,1125.125
1987,8,35,372.4166667
1987,8,40,60.83333333
1987,8,45,0
1988,1,15,4775
1988,1,20,18267
1988,1,25,32471
1988,1,30,21470
1988,1,35,7160
1988,1,40,1004
1988,1,45,45
1988,2,15,2589
1988,2,20,12022
1988,2,25,24558
1988,2,30,17148
1988,2,35,5399
1988,2,40,738
1988,2,45,50
1988,3,15,2918
1988,3,20,9859
1988,3,25,15691
1988,3,30,9265
1988,3,35,2765
1988,3,40,468
1988,3,45,29
1988,4,15,1159
1988,4,20,4270
1988,4,25,7644
1988,4,30,4657
1988,4,35,1370
1988,4,40,174
1988,4,45,18
1988,5,15,1583
1988,5,20,5656
1988,5,25,9809
1988,5,30,6203
1988,5,35,1949
1988,5,40,287
1988,5,45,8
1988,6,15,490
1988,6,20,1678
1988,6,25,2745
1988,6,30,1525
1988,6,35,422
1988,6,40,83
1988,6,45,6
1988,7,15,558
1988,7,20,902
1988,7,25,1125
1988,7,30,700
1988,7,35,237
1988,7,40,38
1988,7,45,4
1988,8,15,173
1988,8,20,844
1988,8,25,1620
1988,8,30,1165
1988,8,35,457
1988,8,40,66
1988,8,45,2
1989,1,15,4882
1989,1,20,17530
1989,1,25,32561
1989,1,30,22403
1989,1,35,7680
1989,1,40,1210
1989,1,45,53
1989,2,15,2721
1989,2,20,11942
1989,2,25,24894
1989,2,30,18094
1989,2,35,5831
1989,2,40,865
1989,2,45,43
1989,3,15,3033
1989,3,20,9635
1989,3,25,15932
1989,3,30,10145
1989,3,35,3243
