year,state,sex,age,immig,emig
1982,3,M,0,1330,660
1982,3,M,5,1430,490
1982,3,M,10,1210,440
1982,3,M,15,1190,340
1982,3,M,20,1980,1310
1982,3,M,25,1990,1290
1982,3,M,30,1800,940
1982,3,M,35,1430,680
1982,3,M,40,870,430
1982,3,M,45,480,280
1982,3,M,50,300,190
1982,3,M,55,250,130
1982,3,M,60,190,110
1982,3,M,65,170,70
1982,3,M,70,110,50
1982,3,M,75,50,30
1982,3,M,80,20,10
1982,3,M,85,0,0
1982,4,F,0,650,200
1982,4,F,5,500,190
1982,4,F,10,440,160
1982,4,F,15,450,180
1982,4,F,20,850,490
1982,4,F,25,980,460
1982,4,F,30,760,320
1982,4,F,35,480,200
1982,4,F,40,270,110
1982,4,F,45,150,70
1982,4,F,50,140,70
1982,4,F,55,130,80
1982,4,F,60,170,60
1982,4,F,65,130,60
1982,4,F,70,90,50
1982,4,F,75,40,10
1982,4,F,80,20,20
1982,4,F,85,0,0
1982,4,M,0,600,230
1982,4,M,5,580,210
1982,4,M,10,540,200
1982,4,M,15,500,140
1982,4,M,20,770,470
1982,4,M,25,1040,520
1982,4,M,30,880,400
1982,4,M,35,620,290
1982,4,M,40,350,180
1982,4,M,45,190,120
1982,4,M,50,120,70
1982,4,M,55,120,70
1982,4,M,60,110,60
1982,4,M,65,130,60
1982,4,M,70,80,30
1982,4,M,75,30,20
1982,4,M,80,0,0
1982,4,M,85,0,0
1982,5,F,0,1170,410
1982,5,F,5,1200,350
1982,5,F,10,1030,310
1982,5,F,15,850,310
1982,5,F,20,1550,920
1982,5,F,25,1820,880
1982,5,F,30,1670,600
1982,5,F,35,1100,390
1982,5,F,40,550,210
1982,5,F,45,330,140
1982,5,F,50,270,110
1982,5,F,55,210,110
1982,5,F,60,280,100
1982,5,F,65,230,70
1982,5,F,70,170,50
1982,5,F,75,70,30
1982,5,F,80,20,20
1982,5,F,85,10,0
1982,5,M,0,1310,460
1982,5,M,5,1350,370
1982,5,M,10,1180,330
1982,5,M,15,910,260
1982,5,M,20,1560,1020
1982,5,M,25,1940,1130
1982,5,M,30,1920,800
1982,5,M,35,1430,590
1982,5,M,40,870,330
1982,5,M,45,470,220
1982,5,M,50,310,170
1982,5,M,55,230,120
1982,5,M,60,170,100
1982,5,M,65,230,80
1982,5,M,70,150,40
